id,display_name,works_api_url,h_index,works_count,country--code
https://openalex.org/A5014647140,Aaron Clauset,https://api.openalex.org/works?filter=author.id:A5014647140,48,284,US
https://openalex.org/A5039072983,Aaron Schein,https://api.openalex.org/works?filter=author.id:A5039072983,8,39,US
https://openalex.org/A5015211752,Aaron Smith,https://api.openalex.org/works?filter=author.id:A5015211752,40,155,GB
https://openalex.org/A5065620021,Abbas Haidar,https://api.openalex.org/works?filter=author.id:A5065620021,2,3,LB
https://openalex.org/A5065944706,Abby Smith,https://api.openalex.org/works?filter=author.id:A5065944706,10,49,AU
https://openalex.org/A5086636153,Abdulkadir Çelikkanat,https://api.openalex.org/works?filter=author.id:A5086636153,4,35,DK
https://openalex.org/A5064296964,Abdullah Almaatouq,https://api.openalex.org/works?filter=author.id:A5064296964,13,97,US
https://openalex.org/A5087496634,Abdullah Zameek,https://api.openalex.org/works?filter=author.id:A5087496634,1,2,Unknown
https://openalex.org/A5081180913,Adam Finnemann,https://api.openalex.org/works?filter=author.id:A5081180913,6,13,NL
https://openalex.org/A5011035455,Adam Frank,https://api.openalex.org/works?filter=author.id:A5011035455,59,678,US
https://openalex.org/A5074354806,Ádám Stefkovics,https://api.openalex.org/works?filter=author.id:A5074354806,5,38,HU
https://openalex.org/A5102734585,Adam Sutton,https://api.openalex.org/works?filter=author.id:A5102734585,16,102,US
https://openalex.org/A5101265318,Aditi Dutta,https://api.openalex.org/works?filter=author.id:A5101265318,3,13,US
https://openalex.org/A5093660434,Adriano Belisario,https://api.openalex.org/works?filter=author.id:A5093660434,1,3,GB
https://openalex.org/A5058662232,Agnes Horvat,https://api.openalex.org/works?filter=author.id:A5058662232,11,22,US
https://openalex.org/A5086011172,Agnieszka Czaplicka,https://api.openalex.org/works?filter=author.id:A5086011172,7,19,DE
https://openalex.org/A5037220308,Agnieszka Faleńska,https://api.openalex.org/works?filter=author.id:A5037220308,8,32,DE
https://openalex.org/A5031686630,Aguru ISHIBASHI,https://api.openalex.org/works?filter=author.id:A5031686630,0,1,JP
https://openalex.org/A5035102250,Ahmad Hesam,https://api.openalex.org/works?filter=author.id:A5035102250,5,13,NL
https://openalex.org/A5102702722,Ahmed Nasser Mostafa,https://api.openalex.org/works?filter=author.id:A5102702722,1,1,Unknown
https://openalex.org/A5030239300,Aidar Zinnatullin,https://api.openalex.org/works?filter=author.id:A5030239300,1,9,DE
https://openalex.org/A5068083728,Akeela Careem,https://api.openalex.org/works?filter=author.id:A5068083728,3,9,NL
https://openalex.org/A5075314395,Akhil Arora,https://api.openalex.org/works?filter=author.id:A5075314395,16,38,US
https://openalex.org/A5110825222,Akira Hashimoto,https://api.openalex.org/works?filter=author.id:A5110825222,28,488,JP
https://openalex.org/A5082554858,Akira Matsui,https://api.openalex.org/works?filter=author.id:A5082554858,53,638,JP
https://openalex.org/A5055633336,Akira Tsurushima,https://api.openalex.org/works?filter=author.id:A5055633336,5,28,US
https://openalex.org/A5055236010,Akrati Saxena,https://api.openalex.org/works?filter=author.id:A5055236010,11,86,NL
https://openalex.org/A5014662127,Alain Barrat,https://api.openalex.org/works?filter=author.id:A5014662127,73,355,FR
https://openalex.org/A5042153855,Alan Paul Kwan,https://api.openalex.org/works?filter=author.id:A5042153855,0,1,Unknown
https://openalex.org/A5015951926,Alejandro Hermida Carrillo,https://api.openalex.org/works?filter=author.id:A5015951926,2,10,DE
https://openalex.org/A5026969792,Aleksandra Urman,https://api.openalex.org/works?filter=author.id:A5026969792,16,102,CH
https://openalex.org/A5033447925,Alessandra Urbinati,https://api.openalex.org/works?filter=author.id:A5033447925,2,6,US
https://openalex.org/A5001710037,Alessandro De Gaetano,https://api.openalex.org/works?filter=author.id:A5001710037,3,7,FR
https://openalex.org/A5011228873,Alessandro Flammini,https://api.openalex.org/works?filter=author.id:A5011228873,67,260,IT
https://openalex.org/A5049802130,Alessandro Gambetti,https://api.openalex.org/works?filter=author.id:A5049802130,3,8,PT
https://openalex.org/A5092189548,Nicolò Alessandro Girardini,https://api.openalex.org/works?filter=author.id:A5092189548,0,4,IT
https://openalex.org/A5018108132,Alessandro Lomi,https://api.openalex.org/works?filter=author.id:A5018108132,34,187,CH
https://openalex.org/A5025069859,Alessia Antelmi,https://api.openalex.org/works?filter=author.id:A5025069859,8,33,IT
https://openalex.org/A5061900944,Alessia Melegaro,https://api.openalex.org/works?filter=author.id:A5061900944,40,126,IT
https://openalex.org/A5035287085,Alex Mielke,https://api.openalex.org/works?filter=author.id:A5035287085,0,2,Unknown
https://openalex.org/A5007176508,Alex Pentland,https://api.openalex.org/works?filter=author.id:A5007176508,122,1033,US
https://openalex.org/A5004784121,Alex Teytelboym,https://api.openalex.org/works?filter=author.id:A5004784121,2,5,US
https://openalex.org/A5116478549,Alexander Sobieska,https://api.openalex.org/works?filter=author.id:A5116478549,0,1,DE
https://openalex.org/A5056559023,Alexander Volfovsky,https://api.openalex.org/works?filter=author.id:A5056559023,13,108,US
https://openalex.org/A5101658856,Alexandra Florea,https://api.openalex.org/works?filter=author.id:A5101658856,9,41,US
https://openalex.org/A5054478253,Alexandra Segerberg,https://api.openalex.org/works?filter=author.id:A5054478253,14,35,SE
https://openalex.org/A5080030270,Alexandre G. Evsukoff,https://api.openalex.org/works?filter=author.id:A5080030270,20,120,BR
https://openalex.org/A5010352723,Alexandros Gelastopoulos,https://api.openalex.org/works?filter=author.id:A5010352723,2,15,DK
https://openalex.org/A5060724128,Ali Faqeeh,https://api.openalex.org/works?filter=author.id:A5060724128,8,13,FI
https://openalex.org/A5002402434,Ali Salloum,https://api.openalex.org/works?filter=author.id:A5002402434,5,18,FR
https://openalex.org/A5101944652,Ali Yassin,https://api.openalex.org/works?filter=author.id:A5101944652,6,18,
https://openalex.org/A5067953991,Aliakbar Akbaritabar,https://api.openalex.org/works?filter=author.id:A5067953991,11,51,DE
https://openalex.org/A5083809979,Alice Battiston,https://api.openalex.org/works?filter=author.id:A5083809979,2,9,IT
https://openalex.org/A5033341922,Alice Grishchenko,https://api.openalex.org/works?filter=author.id:A5033341922,3,11,US
https://openalex.org/A5035786206,Alice Xiang,https://api.openalex.org/works?filter=author.id:A5035786206,12,60,JP
https://openalex.org/A5017332030,Alina Herderich,https://api.openalex.org/works?filter=author.id:A5017332030,3,11,AT
https://openalex.org/A5087471530,Allison Koenecke,https://api.openalex.org/works?filter=author.id:A5087471530,9,40,US
https://openalex.org/A5031514121,Almog Simchon,https://api.openalex.org/works?filter=author.id:A5031514121,9,43,IL
https://openalex.org/A5088276589,Amin Mekacher,https://api.openalex.org/works?filter=author.id:A5088276589,6,18,GB
https://openalex.org/A5063277598,Amir Ebrahimi Fard,https://api.openalex.org/works?filter=author.id:A5063277598,6,20,IT
https://openalex.org/A5030987696,Amir Ghasemian,https://api.openalex.org/works?filter=author.id:A5030987696,8,27,IR
https://openalex.org/A5003121162,Amir Goldberg,https://api.openalex.org/works?filter=author.id:A5003121162,17,84,US
https://openalex.org/A5092977113,Amy Dunphy,https://api.openalex.org/works?filter=author.id:A5092977113,1,2,AU
https://openalex.org/A5070972999,Amy Gimma,https://api.openalex.org/works?filter=author.id:A5070972999,35,147,DK
https://openalex.org/A5112682236,Amy Selby,https://api.openalex.org/works?filter=author.id:A5112682236,1,1,Unknown
https://openalex.org/A5010691256,Amy Smith,https://api.openalex.org/works?filter=author.id:A5010691256,11,42,US
https://openalex.org/A5025047112,An old agent,https://api.openalex.org/works?filter=author.id:A5025047112,0,1,Unknown
https://openalex.org/A5076758947,Ana Alonso Curbelo,https://api.openalex.org/works?filter=author.id:A5076758947,1,4,GB
https://openalex.org/A5082470478,Ana Júlia Bonzanini Bernardi,https://api.openalex.org/works?filter=author.id:A5082470478,2,23,BR
https://openalex.org/A5011326378,Ana Macanovic,https://api.openalex.org/works?filter=author.id:A5011326378,5,9,NL
https://openalex.org/A5107555318,Ana Maria Jaramillo,https://api.openalex.org/works?filter=author.id:A5107555318,0,1,Unknown
https://openalex.org/A5004427266,Ana Valdivia,https://api.openalex.org/works?filter=author.id:A5004427266,12,23,GB
https://openalex.org/A5024468323,Anastasia Menshikova,https://api.openalex.org/works?filter=author.id:A5024468323,2,4,SE
https://openalex.org/A5077871284,Anastassia Vybornova,https://api.openalex.org/works?filter=author.id:A5077871284,3,18,DK
https://openalex.org/A5068182184,Andrea Baronchelli,https://api.openalex.org/works?filter=author.id:A5068182184,47,255,GB
https://openalex.org/A5103698391,Andrea Failla,https://api.openalex.org/works?filter=author.id:A5103698391,2,10,IT
https://openalex.org/A5004705048,Andrea Gentili,https://api.openalex.org/works?filter=author.id:A5004705048,8,36,IT
https://openalex.org/A5066187890,Andrea Passerini,https://api.openalex.org/works?filter=author.id:A5066187890,28,240,IT
https://openalex.org/A5021211836,Andrea Tagarelli,https://api.openalex.org/works?filter=author.id:A5021211836,27,238,IT
https://openalex.org/A5081544475,Andreas Bjerre,https://api.openalex.org/works?filter=author.id:A5081544475,1,2,Unknown
https://openalex.org/A5053529497,Andreas Kaltenbrunner,https://api.openalex.org/works?filter=author.id:A5053529497,27,138,IT
https://openalex.org/A5003185083,Andrew Beers,https://api.openalex.org/works?filter=author.id:A5003185083,22,81,US
https://openalex.org/A5113714609,Andrew Lippman,https://api.openalex.org/works?filter=author.id:A5113714609,32,148,US
https://openalex.org/A5012236452,Andrew Renninger,https://api.openalex.org/works?filter=author.id:A5012236452,3,17,GB
https://openalex.org/A5015051311,Andy Berres,https://api.openalex.org/works?filter=author.id:A5015051311,9,98,US
https://openalex.org/A5029769369,A. Skumanich,https://api.openalex.org/works?filter=author.id:A5029769369,40,294,GB
https://openalex.org/A5064591138,Angelita Repetto,https://api.openalex.org/works?filter=author.id:A5064591138,1,4,US
https://openalex.org/A5010342687,Angelo Brayner,https://api.openalex.org/works?filter=author.id:A5010342687,0,1,Unknown
https://openalex.org/A5003539468,Angelos P. Kassianos,https://api.openalex.org/works?filter=author.id:A5003539468,30,141,CY
https://openalex.org/A5043008384,Anjali Bhatt,https://api.openalex.org/works?filter=author.id:A5043008384,3,5,IN
https://openalex.org/A5079255958,Anna Di Natale,https://api.openalex.org/works?filter=author.id:A5079255958,9,20,IT
https://openalex.org/A5056216760,Anna George,https://api.openalex.org/works?filter=author.id:A5056216760,30,129,IN
https://openalex.org/A5106738122,Anna Mancini,https://api.openalex.org/works?filter=author.id:A5106738122,1,2,IT
